	Percent of None (%)
_id	0.0
abstract	27.677676270789416
doi	25.12719606465214
fos	7.776059967205434
isbn	84.30826891543687
issn	60.73506676036543
keywords	36.25017568517217
lang	11.836964160224877
page_end	16.474115717966736
page_start	13.876317638791285
pdf	87.80229561958303
references	25.043335675802297
title	0.007964394471773249
url	5.229327711407824
volume	46.56640899508081
authors._id	9.008667135160458
authors.avatar	99.5867884750527
authors.bio	97.7062543921293
authors.email	72.34715390021083
authors.gid	62.6038884984774
authors.homepage	99.74420238931833
authors.name	0.3883813539470602
authors.name_zh	99.72452565003513
authors.oid	98.76551885687515
authors.oid_zh	99.74373389552589
authors.orcid	88.58889669711877
authors.org	37.00257671585852
authors.org_zh	99.71749824314828
authors.orgid	45.89599437807449
authors.orgs	67.66408995080815
authors.orgs_zh	99.73623799484656
authors.position	99.74420238931833
authors.sid	79.65003513703444
venue._id	38.85640665261185
venue.issn	83.56148981026001
venue.name	98.20098383696416
venue.name_d	67.52354181307098
venue.name_s	98.95385336144295
venue.online_issn	91.65893651909111
venue.publisher	93.5572733661279
venue.raw	2.029983602717264
venue.raw_zh	92.52096509721245
venue.sid	70.8723354415554
venue.src	99.22651674865308
venue.t	72.60342000468493
